Sample_ID,Mean_HR,Std_HR,Mean_NDCG,Std_NDCG,Mean_Alpha_NDCG,Std_Alpha_NDCG,Mean_MAD,Std_MAD
0,0.9500,0.2179,0.7569,0.3403,0.0000,0.0000,0.0000,0.0000
1,0.8500,0.3571,0.7434,0.3999,0.0000,0.0000,0.0000,0.0000
2,0.9000,0.3000,0.7584,0.3767,0.0000,0.0000,0.0000,0.0000
3,1.0000,0.0000,0.7460,0.2969,0.0000,0.0000,0.0000,0.0000
4,1.0000,0.0000,0.8313,0.2692,0.0000,0.0000,0.0000,0.0000
5,0.9000,0.3000,0.6123,0.3536,0.0000,0.0000,0.0000,0.0000
6,1.0000,0.0000,0.7814,0.3057,0.0000,0.0000,0.0000,0.0000
7,1.0000,0.0000,0.7001,0.3121,0.0000,0.0000,0.0000,0.0000
8,1.0000,0.0000,0.7768,0.3050,0.0000,0.0000,0.0000,0.0000
9,1.0000,0.0000,0.6638,0.2951,0.0000,0.0000,0.0000,0.0000
