Sample_ID,Mean_NDCG,Std_NDCG,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10
0,0.4944,0.1206,0.4307,0.3155,0.6309,0.6309,0.4307,0.3869,0.3562,0.6309,0.6309,0.5000
1,0.4817,0.2988,1.0000,0.6309,0.3869,0.4307,0.4307,0.3155,0.2891,0.3333,1.0000,0.0000
2,0.3854,0.2398,0.3010,0.0000,1.0000,0.2891,0.3869,0.5000,0.4307,0.2891,0.3010,0.3562
3,0.3808,0.3484,0.3562,0.0000,0.3010,0.3869,0.0000,0.0000,1.0000,0.4307,1.0000,0.3333
4,0.3508,0.2992,0.3333,0.3562,0.0000,0.3010,0.6309,1.0000,0.5000,0.0000,0.3869,0.0000
5,0.3579,0.2654,0.0000,0.3155,0.5000,1.0000,0.2891,0.3562,0.0000,0.3010,0.4307,0.3869
6,0.3318,0.3853,0.0000,0.4307,1.0000,0.0000,1.0000,0.5000,0.0000,0.3869,0.0000,0.0000
7,0.5687,0.2911,1.0000,1.0000,0.3010,1.0000,0.4307,0.3333,0.5000,0.2891,0.5000,0.3333
8,0.6679,0.3529,1.0000,1.0000,0.4307,0.4307,0.0000,0.3869,1.0000,0.4307,1.0000,1.0000
9,0.6583,0.2918,0.6309,0.5000,1.0000,1.0000,0.3333,1.0000,0.4307,1.0000,0.3869,0.3010
