Sample_ID,Mean_NDCG,Std_NDCG,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10
0,0.5293,0.2842,0.0000,0.6309,0.5000,0.5000,1.0000,0.3010,0.4307,0.5000,1.0000,0.4307
1,0.2776,0.3298,0.2891,0.0000,0.0000,0.5000,0.6309,1.0000,0.3562,0.0000,0.0000,0.0000
2,0.5393,0.3219,1.0000,0.5000,0.6309,1.0000,0.5000,0.5000,0.6309,0.0000,0.6309,0.0000
3,0.5434,0.2864,0.5000,0.6309,0.3155,0.5000,0.0000,0.6309,0.3562,1.0000,1.0000,0.5000
4,0.4944,0.1045,0.5000,0.6309,0.6309,0.4307,0.5000,0.3562,0.6309,0.3333,0.5000,0.4307
5,0.4252,0.2351,0.0000,1.0000,0.4307,0.3155,0.5000,0.3869,0.3869,0.3010,0.4307,0.5000
6,0.3553,0.1919,0.0000,0.3869,0.0000,0.4307,0.6309,0.3562,0.5000,0.4307,0.4307,0.3869
7,0.4542,0.3283,0.6309,0.3869,0.6309,0.0000,0.0000,0.6309,1.0000,0.6309,0.0000,0.6309
8,0.5351,0.3599,0.3869,1.0000,0.5000,1.0000,0.3333,0.0000,0.5000,1.0000,0.6309,0.0000
9,0.3567,0.2998,0.3562,0.3333,0.0000,0.6309,0.0000,0.5000,0.0000,0.4307,0.3155,1.0000
