Sample_ID,Mean_NDCG,Std_NDCG,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10
0,0.5270,0.2373,0.4307,0.3869,1.0000,0.4307,0.3869,1.0000,0.3869,0.3869,0.4307,0.4307
1,0.4524,0.3932,1.0000,0.6309,0.0000,0.6309,1.0000,0.0000,0.6309,0.0000,0.0000,0.6309
2,0.5879,0.3824,0.4307,0.6309,1.0000,1.0000,1.0000,0.4307,0.0000,1.0000,0.3869,0.0000
3,0.6710,0.3204,1.0000,1.0000,0.0000,0.3869,0.6309,1.0000,0.4307,0.6309,0.6309,1.0000
4,0.5188,0.4241,0.0000,0.5000,0.0000,0.3010,1.0000,0.3869,1.0000,0.0000,1.0000,1.0000
5,0.6496,0.2625,0.3155,0.3010,1.0000,0.6309,0.6309,1.0000,1.0000,0.6309,0.6309,0.3562
6,0.3986,0.3484,0.3562,0.3869,0.0000,0.0000,0.3562,0.3869,1.0000,1.0000,0.5000,0.0000
7,0.4403,0.3954,1.0000,0.0000,1.0000,0.3010,0.0000,1.0000,0.0000,0.3562,0.3155,0.4307
8,0.5568,0.3353,0.3010,1.0000,0.3562,0.6309,0.0000,0.3333,0.3155,1.0000,0.6309,1.0000
9,0.5417,0.2920,0.6309,0.6309,0.6309,0.0000,0.6309,0.6309,0.6309,1.0000,0.0000,0.6309
